,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Added Fields that are greyed out and ,,,,,,,,,,,,,,,,,,,
CAN/US DESCRIPTION,CAN Supplier,CAD Manu/User CODES,,Notes,,Fields ,calculated for PFC viewing,,Netley Retail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE - SCREWS/CONNECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighted Round Rod Slate 8ft,Hafele,H.830.28.800,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSLUCENT COVER,,,,,,,,,,,,,,,,,,,,,,,,,,
Translucent Cover (Custom Lengths),Hafele,H.833.74.781.CTS,,,,,NOTE: no extra cut costs for this,,,,,,,,,,,,,,,,,,,
Translucent Cover 8ft,Hafele,H.833.74.781,,,,,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSET ROD HOLDERS,,,,,,,,,,,,,,,,,,,,,,,,,,
Closet Oval Rod Holder Chrome,Marathon,M-04-5311,,,,Quantity,Cost per piece/inch x Total Cost,145,,all others,,,,,,,,,,,,,,,,
Closet Round Holder Chrome,Hafele,H.803.39.210,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Holder Matt-Aluminum,Hafele,H.803.39.410,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Holder Black,Hafele,H.803.64.410,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Holder Matt Gold,Hafele,H.803.39.910,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Holder Slate,Hafele,H.803.39.710,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
CLOSET ACCESSORIES,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARF RACKS,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scarf Rack 14"" Chrome",Hafele,H.807.67.223,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
